id,school,professor,course,rating,review
81,강대,전명용,중국문화사,1,"최악, 좋아하는 애들한테 성적 몰려줌 ~ 아무리 출석 잘하고 과제 시험 다 쳤는데도 불구하고 마음에 안든다고 최악의 점수받음^^학생들도 권리가 있는데 막말 너무심하고 다신 이 수업 안들음ㅋㅋㅋㅋ"
82,강대,전명용,중국문화의이해,1,마음에 안드는 사람은 F폭격 ㅋㅋㅋㅋ 좋아하는애들만 골라서 말걸고 성적 몰아주고 과제 출결 시험도 다 쳐도 자기마음에 별로면 성적 최악으로 줍니다~~~~ 중간보면 한명씩 불러서 시험결과알려주면서 상담도 합니다 간단히ㅋㅋ 학생에게 생각안하고 막말합니다 너무 충격먹어서 이 수업 다신 안들어요 비추천
83,강대,윤종수,졸업종합평가,3,"10과목중 7과목 선택하고 60문제 이상 맞아야되는데한 과목당 15문제 그니까 즉 4과목만 외워가는게효율적임 틀리더라도 나머지 과목 찍으면 될거임족보가 존재하는거 같긴한데 이번엔 1~4차 문제 다 다르게 나오고 그냥 문제랑 답만 외워가면 돼서 굳이 필요없다강남인쇄해서 하라고 하는데 자취촌쪽이 가격 더 쌀걸(많이차이안남) 개념도 같이 있는게 더 비싸니까 사지마 쓸모없어지하1층에서 시험볼땐 친구들끼리 컨닝하기 딱좋다한두과목씩 맡아서 답적어서 서로 돌리는게 제일 현명함 3,4차로 갈수록 좁은 강의실에서 바뀌고 인원도 적어지니1,2차때 붙는게 좋다"
84,강대,윤희환,TOEICI,3,과제가 영어단어 깜지쓰기였음인강으로 들었는데 문제풀면서 문법얘기도 해주시고 해외에서 사용하는 영어랑 비교하면서 설명해주심교수님 말투 여성스러우셔
85,강대,김정근,노년학개론,3,노년학개론 피드백페이퍼 과제폭탄 지옥임 ㅠㅠㅠ
86,강대,심정연,컴퓨터프로그래밍,3,컴프 처음 듣는데 교수님이 수업해주신 내용만 알려주심 컴프 못 듣는사람들 화요일 수업 들으셈
87,강대,이우채,국제마케팅론,5,장점) 저자 직강이고 책이 이해하기 쉽게 쓰여있어서 공부하기 좋음단점) 양이 많아서 미리 공부 안하면 시험기간에 빡셈
88,강대,윤희환,TOEICI,3,뭣모르고 새내기때 들었다가 d나왔음군대갔다왔더니 학사구조개편되서 재수강도 못함
89,강대,임은옥,지방자치론,3,선생님도 착하시고 조별과제 없고 개인과제도 쉬운편이고 퀴즈도 정말쉬움근데 시험이 정말어려움 수업시간에 칠판에 써준내용이나 시청각자료 보여준거에서 시험다나옴.수업시간에 놀다가 PPT만 외워갔다간 빈종이 내고 올 가능성이 큼
90,강대,강경락,역사속동서문화교류사,3,강경락교수님 강의는 A받으면 공부잘한거고 B받으면 사람이 아니라는걸 느끼게해준강의결론: B+받기는 존나쉬운데 A받는건 매우 어려움
91,강대,이윤배,과학기술과윤리,4,필자는 4학년임 1학년때 막장이었던 교양강의 수준을 다시한번 느낄수 있었음. 지금이야 강남대 수준 많이 올라왔지만 본인이 1학년때는 출튀하고 벼락치기해도 B+받는 교양이 대부분이었음. 이강의도 비슷하다고 생각함. 이론의 대부분이 정말 중고등학교 수준이고 그마저도 시험전주에 교수님이 나올부분 찝어줌. 매주마다 조끼리 돌아가면서 발표해야되서 짜증나긴하는데 그것 말고는 다 쉬움
92,강대,임은옥,행정학원론II,4,벼락치기하고 수업시간에 출튀and낮잠 이었는데 신기하게도 60명중에 18등함. 68점맞았음 애들 어지간히 공부 안하는듯 하다.
93,강대,윤승태,채플(행복나눔)IV,1,날 이끌어주신 감사한 과목!할렐루야감사합니다 주님
94,강대,이우채,국제마케팅론,5,생각보다 수업이 재밌습니다.책 무거운거 빼고는 좋아요.
95,강대,윤승태,채플(이웃사랑)II,1,오늘 듣다가 갑자기 화남학점도 안줘 종교강요.. 기독교분들 존중하는데무교인이 강제로 들으니까 기독교혐오생김
96,강대,윤승태,채플(이웃사랑)II,2,학점이나 주면 좋게 듣겠는데... 학점도 안주고..
97,강대,윤종수,졸업종합평가,1,"뭐 다들 알다시피 수업은 따로 없고 졸업시험 통과하면 됨. 경영학 전공 졸시 (국제통상, 무역 X) 문제 등 알고 싶으면 포인트 내고 내가 쓴 시험 정보 반드시 확인해라. 2020년 이후에 보는 사람만"
98,강대,조준배,프로그램개발과평가,4,솔직히 수업내용 대부분은 알아듣기 쉬운데 막상 프로그램 개발 보고서에 적용하려하면 어려움시험은 벼락치기했는데 전부 풀수있을정도로 쉬움아직 중간고사만 끝났지만 뭘배워쓴지.모르겠고 수업1도 안들어도 중간고사는 누구나 풀수 있다.
99,강대,이진영,컴퓨터프로그래밍,3,수업 자체는 어려운 거 하나도 없음 진짜 기본적인 지능만 있다면 따라가는데 아무 지장 없음다만 이해력이 남들보다 좀 떨어지면서 멘탈까지 안 좋은 친구들은 다른 교수님 수업 듣는 걸 권장함
100,강대,박석정,형법각론,4,필기가 많지만 설명을 쉽게 해주셔서 재밌음 다만 수업 후에 본인이 책으로 보충해야 시험볼 때 좋음
101,강대,윤승태,채플(이웃사랑)II,3,제일 잠 잘오는 자장가 맛집입니다!^^ 호우~!!!!!!
